FirstName;LastName;Sex;BirthDate;PassengerDocument_RU;PassengerDocument_INTL;CardNumber;ETicketNumber;TravelClass;DepartDate;DepartTime;ArrivalDate;ArrivalTime;FlightNumber;From;Dest;Fare;CityFrom;CityTo;CountryFrom;CountryTo;AgentInfo;Bonus;LoyaltyLevelDT;LoyaltyNumberDT;LoyaltyLevelFB;LoyaltyNumberFB;LoyaltyLevelKE;LoyaltyNumberKE;LoyaltyLevelSU;LoyaltyNumberSU;Codeshare
DAVID;NIKITIN;MALE;;;;;2045684803970748.0;;14.05.2017;;;;AF382;CDG;PEK;IFGZVV;PARIS;BEIJING;FRANCE;CHINA;;;;;;;;;;;False
VSEVOLOD;TIHONOV;MALE;;;;;;;08.05.2017;;;;AF382;CDG;PEK;;PARIS;BEIJING;FRANCE;CHINA;;;;;;;Elite+;KE 693846525;Elite;SU 735253587;False
EDUARD;VAVILOV;MALE;;;;;;;10.05.2017;;;;AZ7038;MXP;LED;;MILAN;SAINT PETERSBURG;ITALY;RUSSIAN FEDERATION;;;;;;;Elite+;KE 936670842;;;True
TAISIJA;BELIKOVA;FEMALE;;;;;6208180903814730.0;;05.05.2017;;;;AZ7038;MXP;LED;EVUGZG;MILAN;SAINT PETERSBURG;ITALY;RUSSIAN FEDERATION;;;;;;;;;;;
ALBERT;SINITSYN;MALE;;;;;942127849250053.0;;02.05.2017;;;;AZ7210;MXP;LED;SBGKYG;MILAN;SAINT PETERSBURG;ITALY;RUSSIAN FEDERATION;;;;;;;;;;;
DANILA;BOBROV;MALE;;;;;;;10.05.2017;;;;AZ7210;MXP;LED;;MILAN;SAINT PETERSBURG;ITALY;RUSSIAN FEDERATION;;;Elite;DT 262259974;;;;;Basic;SU 204787810;True
ALEKSANDR;MASLOV;MALE;;;;;;;06.05.2017;;;;AZ7212;FCO;LED;;ROME;SAINT PETERSBURG;ITALY;RUSSIAN FEDERATION;;;;;;;;;Basic;SU 813883956;True
ANNA;SNEGIREVA;FEMALE;;;;;;;26.05.2017;;;;AZ7212;FCO;LED;;ROME;SAINT PETERSBURG;ITALY;RUSSIAN FEDERATION;;;Basic;DT 605041289;;;Elite;KE 573747780;;;True
NOVEL;KONSTANTINOV;MALE;;;;;;;30.05.2017;;;;AZ7212;FCO;LED;;ROME;SAINT PETERSBURG;ITALY;RUSSIAN FEDERATION;;;;;;;Elite;KE 189063114;;;True
VITALINA;STAROSTINA;FEMALE;;;;;1241608844027492.0;;03.05.2017;;;;AZ7212;FCO;LED;XREYMS;ROME;SAINT PETERSBURG;ITALY;RUSSIAN FEDERATION;;;;;;;;;;;
VIKTORIIA;MATVEEVA;FEMALE;;;;DT 521392811;;;03.05.2017;;;;CI511;TPE;PEK;YSTNVP;TAIPEI;BEIJING;TAIWAN;CHINA;;Delta SkyMiles;Basic;DT 521392811;Basic;FB 534516610;Elite+;KE 914896004;;;False
ZLATA;PETROVA;FEMALE;;;;;1098253249697289.0;;27.04.2017;;;;CI591;KHH;PEK;MQXNNL;KAOHSIUNG;BEIJING;TAIWAN;CHINA;;;;;;;;;Elite;SU 246640980;False
PAULINE;ODINTCOVA;FEMALE;;;;;2177253539633106.0;;10.05.2017;;;;CZ3000;CAN;PEK;DBECLC;GUANGZHOU;BEIJING;CHINA;CHINA;;;;;;;;;;;
EDUARD;OLEINIKOV;MALE;;;;FB 181752230;;A;20.04.2017;;;;CZ309;SAR;PEK;AFLXYD;HONG KONG;BEIJING;;CHINA;;Flying Blue;Elite;DT 189922884;Elite+;FB 181752230;Basic;KE 498733424;Elite+;SU 668281528;False
ARTEM;RUBTSOV;MALE;;;;;3416066023220414.0;;02.05.2017;;;;CZ309;SAR;PEK;HTQBOF;HONG KONG;BEIJING;;CHINA;;;;;;;;;;;
LEV;ZHUKOV;MALE;;;;;;;08.05.2017;;;;CZ3101;CAN;PEK;;GUANGZHOU;BEIJING;CHINA;CHINA;;;Basic;DT 328676378;;;;;;;False
EGOR;KARASEV;MALE;;;;FB 368741390;;;06.05.2017;;;;CZ3102;CAN;PEK;YRSTHX;GUANGZHOU;BEIJING;CHINA;CHINA;;Flying Blue;Basic;DT 992310133;Elite+;FB 368741390;;;;;False
VALERIIA;EVSEEVA;FEMALE;;;;;;;14.05.2017;;;;CZ3102;CAN;PEK;;GUANGZHOU;BEIJING;CHINA;CHINA;;;;;;;Basic;KE 505349621;;;False
IURII;VORONIN;MALE;;;;;4104871190145899.0;;10.05.2017;;;;CZ3103;CAN;PEK;FDLUAR;GUANGZHOU;BEIJING;CHINA;CHINA;;;;;;;;;;;
KAROLINA;LYUBIMOVA;FEMALE;;;;;;;10.05.2017;;;;CZ3104;CAN;PEK;;GUANGZHOU;BEIJING;CHINA;CHINA;;;Elite+;DT 30850029;;;;;;;False
VASILINA;KUZINA;FEMALE;;;;;7730718076347223.0;;05.05.2017;;;;CZ3104;CAN;PEK;LUOPPE;GUANGZHOU;BEIJING;CHINA;CHINA;;;;;;;;;;;
VADIM;CHERNOV;MALE;;;;SU 554338534;;A;10.05.2017;;05.10.2017;;CZ3105;CAN;PEK;AFLXOP;GUANGZHOU;BEIJING;CHINA;CHINA;;Aeroflot Bonus;;;Elite+;FB 363952891;;;Elite+;SU 554338534;False
SAMIR;KALASHNIKOV;MALE;;;;;4385662179497750.0;;28.04.2017;;;;CZ3105;CAN;PEK;ZAZDUY;GUANGZHOU;BEIJING;CHINA;CHINA;;;Elite;DT 948122371;;;;;;;False
ARTEM;GALKIN;MALE;;;;;;;01.05.2017;;;;CZ3106;CAN;PEK;;GUANGZHOU;BEIJING;CHINA;CHINA;;;Basic;DT 580484621;;;;;;;False
MARAT;TSAREV;MALE;;;;;;;01.05.2017;;;;CZ3106;CAN;PEK;;GUANGZHOU;BEIJING;CHINA;CHINA;;;;;Basic;FB 806951452;;;;;False
OLESIA;POTAPOVA;FEMALE;;;;;6733787995520252.0;;08.05.2017;;;;CZ3106;CAN;PEK;DLYKAI;GUANGZHOU;BEIJING;CHINA;CHINA;;;;;;;;;;;
SOFYA;KOSAREVA;FEMALE;;;;;;;16.04.2017;;;;CZ3110;CAN;PEK;;GUANGZHOU;BEIJING;CHINA;CHINA;;;;;Basic;FB 78147591;;;;;False
DIANA;KHOMYAKOVA;FEMALE;;;;;6169371616078600.0;;23.04.2017;;;;CZ3111;CAN;PEK;WPNPIS;GUANGZHOU;BEIJING;CHINA;CHINA;;;;;Elite+;FB 516114069;;;;;False
ALEXEY;KOZHEVNIKOV;MALE;;;;;;;04.05.2017;;;;CZ3113;CAN;PEK;;GUANGZHOU;BEIJING;CHINA;CHINA;;;;;;;;;Basic;SU 92065116;False
ARTUR;PLATONOV;MALE;;;;;;;20.04.2017;;;;CZ3114;CAN;PEK;;GUANGZHOU;BEIJING;CHINA;CHINA;;;;;;;Basic;KE 876119441;;;False
DENIS;CHISTYAKOV;MALE;;;;;;;15.04.2017;;;;CZ3114;CAN;PEK;;GUANGZHOU;BEIJING;CHINA;CHINA;;;Basic;DT 206331868;Basic;FB 796108041;;;Basic;SU 746554984;False
IGOR;ZAVIALOV;MALE;;;;;3870059930769688.0;;28.04.2017;;;;CZ3114;CAN;PEK;OGMXUH;GUANGZHOU;BEIJING;CHINA;CHINA;;;;;;;;;;;False
TIMOFEI;RODIONOV;MALE;;;;SU 730406278;;;14.05.2017;;;;CZ3115;CAN;PEK;YSTNIT;GUANGZHOU;BEIJING;CHINA;CHINA;;Aeroflot Bonus;Elite+;DT 240763933;Elite;FB 645443402;;;Elite;SU 730406278;False
VLADIMIR;GOROKHOV;MALE;;;;;2954334291934230.0;;11.05.2017;;;;CZ3115;CAN;PEK;BDOBUD;GUANGZHOU;BEIJING;CHINA;CHINA;;;;;;;;;;;
IANA;BOLDYREVA;FEMALE;;;;;;;04.05.2017;;;;CZ3116;CAN;PEK;;GUANGZHOU;BEIJING;CHINA;CHINA;;;;;;;;;Basic;SU 268518821;False
KONSTANTIN;SUKHANOV;MALE;;;;SU 52408432;;A;02.05.2017;;05.02.2017;;CZ3117;WUH;PEK;ASTNUO;WUHAN;BEIJING;CHINA;CHINA;;Aeroflot Bonus;;;Elite+;FB 196649204;;;Elite+;SU 52408432;False
ALEXANDRA;STAROSTINA;FEMALE;;;;;4750192806618012.0;;16.04.2017;;;;CZ3117;WUH;PEK;EDDIWZ;WUHAN;BEIJING;CHINA;CHINA;;;;;Elite+;FB 542535690;;;Elite+;SU 101043817;False
MAXIM;KALMYKOV;MALE;;;;;1769752964651256.0;;03.05.2017;;;;CZ3117;WUH;PEK;XZYKUO;WUHAN;BEIJING;CHINA;CHINA;;;;;;;;;;;
KIRILL;KUPRIYANOV;MALE;;;;;9195179699799364.0;;21.04.2017;;;;CZ3119;HAK;PEK;JBYHYF;HAIKOU;BEIJING;CHINA;CHINA;;;;;Basic;FB 104175308;;;;;False
MILANA;OVCHINNIKOVA;FEMALE;;;;;;;01.05.2017;;;;CZ3119;HAK;PEK;;HAIKOU;BEIJING;CHINA;CHINA;;;;;;;Elite+;KE 630499262;;;False
MELANIIA;SIMONOVA;FEMALE;;;;;;;02.05.2017;;;;CZ3121;CAN;PEK;;GUANGZHOU;BEIJING;CHINA;CHINA;;;Elite+;DT 199273930;Basic;FB 799798460;;;;;False
ALINA;KUDRJAVTSEVA;FEMALE;;;;;9464512806881372.0;;25.04.2017;;;;CZ3122;CAN;PEK;VSIIGT;GUANGZHOU;BEIJING;CHINA;CHINA;;;;;;;;;Elite;SU 632406323;False
IAN;AKIMOV;MALE;;;;;4267120040472096.0;;12.05.2017;;;;CZ3122;CAN;PEK;HFJJHL;GUANGZHOU;BEIJING;CHINA;CHINA;;;;;;;;;;;
IULIIA;OKULOVA;FEMALE;;;;;;;09.05.2017;;;;CZ3128;CSX;PEK;;CHANGSHA;BEIJING;CHINA;CHINA;;;Elite+;DT 744042522;Elite;FB 970515927;Elite;KE 149333514;Elite+;SU 124230794;False
DANIIL;GREKOV;MALE;;;;;;;21.04.2017;;;;CZ3139;WUH;PEK;;WUHAN;BEIJING;CHINA;CHINA;;;Basic;DT 387938661;;;;;;;False
FEDOR;SIMONOV;MALE;;;;;246607066339656.0;;19.04.2017;;;;CZ3147;BHY;PEK;DUIION;BEIHAI;BEIJING;CHINA;CHINA;;;;;;;;;;;False
NELLI;ZAKHAROVA;FEMALE;;;;;;;03.05.2017;;;;CZ3147;BHY;PEK;;BEIHAI;BEIJING;CHINA;CHINA;;;;;;;;;Basic;SU 909048234;False
SAMIRA;SYCHEVA;FEMALE;;;;;;;04.05.2017;;;;CZ3147;BHY;PEK;;BEIHAI;BEIJING;CHINA;CHINA;;;;;;;Elite+;KE 795774446;;;False
EDUARD;LARIN;MALE;;;;;7875593777925381.0;;05.05.2017;;;;CZ3147;CSX;PEK;MGIEZC;CHANGSHA;BEIJING;CHINA;CHINA;;;;;Basic;FB 623927793;;;;;False
GEORGIY;STOLIAROV;MALE;;;;FB 600799964;;Y;04.05.2017;;05.04.2017;;CZ3151;SZX;PEK;YFLXVF;SHENZHEN;BEIJING;CHINA;CHINA;;Flying Blue;;;Elite+;FB 600799964;;;Basic;SU 355072861;False
OLEG;VASILIEV;MALE;;;;;;;09.05.2017;;;;CZ3151;SZX;PEK;;SHENZHEN;BEIJING;CHINA;CHINA;;;Elite;DT 536294322;;;;;Elite;SU 333417747;False
ALISA;FOKINA;FEMALE;;;;;5443956842710153.0;;10.05.2017;;;;CZ3153;SZX;PEK;FGDBES;SHENZHEN;BEIJING;CHINA;CHINA;;;;;;;;;;;
IURII;TOKAREV;MALE;;;;;;;30.04.2017;;;;CZ3159;SZX;PEK;;SHENZHEN;BEIJING;CHINA;CHINA;;;Elite+;DT 179624232;;;Basic;KE 250289962;;;False
ELENA;MAKEEVA;FEMALE;;;;;;;14.05.2017;;;;CZ316;REA;PEK;;SEOUL;BEIJING;KO;CHINA;;;;;Basic;FB 602641968;;;;;False
LYDIA;OZEROVA;FEMALE;;;;;897816054196364.0;;06.05.2017;;;;CZ316;REA;PEK;YWMBJE;SEOUL;BEIJING;;CHINA;;;;;;;;;;;
ESENIJA;ZORINA;FEMALE;;;;;;;14.05.2017;;;;CZ3161;CAN;PEK;;GUANGZHOU;BEIJING;CHINA;CHINA;;;;;Basic;FB 284279873;Elite+;KE 122707432;;;False
EMIL;KOTOV;MALE;;;;;1842027551232058.0;;14.05.2017;;;;CZ3163;CSX;PEK;RYZDZH;CHANGSHA;BEIJING;CHINA;CHINA;;;;;;;Elite;KE 99017864;;;False
ULYANA;VORONINA;FEMALE;;;;;;;14.05.2017;;;;CZ3165;CAN;PEK;;GUANGZHOU;BEIJING;CHINA;CHINA;;;;;;;;;Elite+;SU 783726549;False
KONSTANTIN;DEMIDOV;MALE;;;;;1131065147070792.0;;11.05.2017;;;;CZ3171;SZX;PEK;YUNSJT;SHENZHEN;BEIJING;CHINA;CHINA;;;;;;;;;;;
LIDIJA;ANTONOVA;FEMALE;;;;;;;10.05.2017;;;;CZ3171;SZX;PEK;;SHENZHEN;BEIJING;CHINA;CHINA;;;;;;;Elite+;KE 59172412;Elite;SU 253269736;False
VALERIIA;GONCHAROVA;FEMALE;;;;SU 541209346;;Y;01.05.2017;;05.01.2017;;CZ318;REA;PEK;YSTNXT;SEOUL;BEIJING;KO;CHINA;;Aeroflot Bonus;;;;;;;Elite+;SU 541209346;False
ELENA;STARIKOVA;FEMALE;;;;;;;05.05.2017;;;;CZ318;REA;PEK;;SEOUL;BEIJING;KO;CHINA;;;;;;;;;Elite+;SU 275628860;False
NATALIIA;SOKOLOVA;FEMALE;;;;;;;13.05.2017;;;;CZ3187;CGD;PEK;;CHANGDE;BEIJING;CHINA;CHINA;;;Elite+;DT 948180126;Elite;FB 141496597;Basic;KE 121977248;;;False
MADINA;NIKITINA;FEMALE;;;;;;;29.04.2017;;;;CZ3191;SZX;PEK;;SHENZHEN;BEIJING;CHINA;CHINA;;;Elite;DT 370805643;;;;;;;False
ANNA;MITROFANOVA;FEMALE;;;;;;;27.04.2017;;;;CZ3193;SZX;PEK;;SHENZHEN;BEIJING;CHINA;CHINA;;;;;Elite;FB 163543545;;;Elite;SU 889543072;False
KRISTINA;USTINOVA;FEMALE;;;;;2583072808487782.0;;21.04.2017;;;;CZ3193;SZX;PEK;ABKDOC;SHENZHEN;BEIJING;CHINA;CHINA;;;Elite;DT 550513859;;;;;;;False
ARIANA;KOROTKOVA;FEMALE;;;;;7035290267338512.0;;06.05.2017;;;;CZ323;CAN;PEK;ZNHICR;GUANGZHOU;BEIJING;CHINA;CHINA;;;;;;;;;;;
EGOR;KOLOSOV;MALE;;;;;;;14.04.2017;;;;CZ323;CAN;PEK;;GUANGZHOU;BEIJING;CHINA;CHINA;;;Basic;DT 348672608;Basic;FB 677376073;;;Elite;SU 815479861;False
KONSTANTIN;ZIMIN;MALE;;;;;;;13.05.2017;;;;CZ324;CAN;PEK;;GUANGZHOU;BEIJING;CHINA;CHINA;;;Elite;DT 263395651;;;;;;;False
KRISTINA;STEPANOVA;FEMALE;;;;;2325285482659394.0;;05.05.2017;;;;CZ324;CAN;PEK;XDOMYT;GUANGZHOU;BEIJING;CHINA;CHINA;;;;;;;;;;;
EDUARD;OSIPOV;MALE;;;;;;;09.05.2017;;;;CZ324;PNH;PEK;;PHNOM PENH;BEIJING;CAMBODIA;CHINA;;;Basic;DT 190336618;;;;;;;False
IASMINA;SHAPOSHNIKOVA;FEMALE;;;;;1307544087320854.0;;10.05.2017;;;;CZ3255;KOW;PEK;QOIWXY;GANZHOU;BEIJING;CHINA;CHINA;;;;;;;;;;;
IULIIA;KOMISSAROVA;FEMALE;;;;;;;17.04.2017;;;;CZ3255;SZX;PEK;;SHENZHEN;BEIJING;CHINA;CHINA;;;Basic;DT 539988024;Basic;FB 429680772;;;Elite+;SU 788989611;False
MIRON;KONSTANTINOV;MALE;;;;;;;19.04.2017;;;;CZ3255;SZX;PEK;;SHENZHEN;BEIJING;CHINA;CHINA;;;;;;;;;Elite;SU 569135007;False
AMINA;SOLOVEVA;FEMALE;;;;;;;19.04.2017;;;;CZ3281;KWL;PEK;;GUILIN;BEIJING;CHINA;CHINA;;;;;;;;;Elite;SU 985912425;False
LIDIJA;FEDOTOVA;FEMALE;;;;;;;23.04.2017;;;;CZ3281;KWL;PEK;;GUILIN;BEIJING;CHINA;CHINA;;;;;Elite;FB 855639927;;;;;False
MIROSLAV;STARIKOV;MALE;;;;;;;09.05.2017;;;;CZ3281;KWL;PEK;;GUILIN;BEIJING;CHINA;CHINA;;;Basic;DT 998005602;;;;;;;False
FEDOR;POSTNIKOV;MALE;;;;;;;28.04.2017;;;;CZ3285;NNG;PEK;;NANNING;BEIJING;CHINA;CHINA;;;Basic;DT 339955603;;;Elite;KE 140422487;;;False
GEORGIY;PANKOV;MALE;;;;;1767649086921513.0;;11.05.2017;;;;CZ3285;NNG;PEK;CEHZXK;NANNING;BEIJING;CHINA;CHINA;;;;;;;;;;;
KAMILLA;CHERNAIA;FEMALE;;;;;9546504873751412.0;;04.05.2017;;;;CZ3285;NNG;PEK;HVAWQE;NANNING;BEIJING;CHINA;CHINA;;;;;;;;;;;
ALISA;SELEZNEVA;FEMALE;;;;;1596655678463464.0;;05.05.2017;;;;CZ3653;KWE;PEK;MKJZFI;GUIYANG;BEIJING;CHINA;CHINA;;;;;;;;;;;
ELIZAVETA;MININA;FEMALE;;;;;;;25.04.2017;;;;CZ3681;KWE;PEK;;GUIYANG;BEIJING;CHINA;CHINA;;;Basic;DT 956879999;Elite;FB 788886853;;;;;False
SEMEN;KOROLKOV;MALE;;;;;8915972692302221.0;;27.04.2017;;;;CZ3681;KWE;PEK;AFXOQL;GUIYANG;BEIJING;CHINA;CHINA;;;;;;;;;Elite;SU 530112601;False
SABINA;RODIONOVA;FEMALE;;;;;;;18.04.2017;;;;CZ3717;CSX;PEK;;CHANGSHA;BEIJING;CHINA;CHINA;;;;;;;;;Elite+;SU 95285304;False
IURII;LIUBIMOV;MALE;;;;;;;15.04.2017;;;;CZ3717;DYG;PEK;;ZHANGJIAJIE;BEIJING;CHINA;CHINA;;;Basic;DT 487196034;;;;;;;False
BORIS;KUZNETCOV;MALE;;;;;;;14.05.2017;;;;CZ3731;ZUH;PEK;;ZHUHAI;BEIJING;CHINA;CHINA;;;;;Elite;FB 915751499;;;;;False
SAVELIJ;GUBANOV;MALE;;;;;;;28.04.2017;;;;CZ3735;ZUH;PEK;;ZHUHAI;BEIJING;CHINA;CHINA;;;;;;;Basic;KE 614395279;;;False
EVGENII;CHERKASOV;MALE;;;;KE 998051296;;Y;19.04.2017;;;;CZ3739;ZUH;PEK;YGRPVK;ZHUHAI;BEIJING;CHINA;CHINA;;Korean Air SKYPASS;;;;;Elite;KE 998051296;;;False
EGOR;PANKRATOV;MALE;;;;;;;27.04.2017;;;;CZ3753;WUH;PEK;;WUHAN;BEIJING;CHINA;CHINA;;;Basic;DT 108400827;;;;;;;False
IANA;KOSAREVA;FEMALE;;;;;2935083808565646.0;;06.05.2017;;;;CZ3902;KMG;PEK;STLWFM;KUNMING;BEIJING;CHINA;CHINA;;;;;;;;;;;
ULYANA;DANILOVA;FEMALE;;;;;7042053375898270.0;;10.05.2017;;;;CZ3904;CTU;PEK;YXIFOD;CHENGDU;BEIJING;CHINA;CHINA;;;;;;;;;;;
MARYANA;KUKUSHKINA;FEMALE;;;;;;;10.05.2017;;;;CZ3915;ZYI;PEK;;ZUNYI;BEIJING;CHINA;CHINA;;;;;Elite+;FB 354367498;;;;;False
SAMIR;FEDOSOV;MALE;;;;;;;19.04.2017;;;;CZ3952;SHA;PEK;;SHANGHAI;BEIJING;CHINA;CHINA;;;Elite;DT 301516143;;;Elite+;KE 223583493;Elite+;SU 823714409;False
SNEZHANA;SURKOVA;FEMALE;;;;;9282937408352648.0;;11.05.2017;;;;CZ3997;KMG;PEK;BYZRBI;KUNMING;BEIJING;CHINA;CHINA;;;;;;;;;;;
LIANA;TOLKACHEVA;FEMALE;;;;;;;20.04.2017;;;;CZ3998;KMG;PEK;;KUNMING;BEIJING;CHINA;CHINA;;;;;Basic;FB 304754826;Basic;KE 961429739;Basic;SU 725061790;False
SABINA;SHMELEVA;FEMALE;;;;;;;02.05.2017;;;;CZ4504;REA;PEK;;SEOUL;BEIJING;KO;CHINA;;;;;;;Elite+;KE 793281891;;;True
VERA;DYAKONOVA;FEMALE;;;;FB 448902481;;Y;14.05.2017;;;;CZ4506;REA;PEK;YRSTWJ;SEOUL;BEIJING;KO;CHINA;;Flying Blue;;;Basic;FB 448902481;;;;;True
AMELIJA;BOBROVA;FEMALE;;;;;;;19.04.2017;;;;CZ4506;REA;PEK;;SEOUL;BEIJING;KO;CHINA;;;;;;;;;Elite+;SU 801935737;True
ROBERT;CHERNOV;MALE;;;;;;;25.04.2017;;;;CZ4506;REA;PEK;;SEOUL;BEIJING;KO;CHINA;;;;;;;;;Basic;SU 634034464;True
VARVARA;IVANOVA;FEMALE;;;;;;;02.05.2017;;;;CZ4506;REA;PEK;;SEOUL;BEIJING;KO;CHINA;;;;;;;Basic;KE 881347260;;;True
IRINA;KIRILLOVA;FEMALE;;;;;;;09.05.2017;;;;CZ4508;REA;PEK;;SEOUL;BEIJING;KO;CHINA;;;;;;;Elite+;KE 781985786;;;True
SAMIR;RUBTSOV;MALE;;;;;5171459028721560.0;;05.05.2017;;;;CZ4508;REA;PEK;EPJMSD;SEOUL;BEIJING;;CHINA;;;;;;;;;;;
BOGDAN;MIKHAYLOV;MALE;;;;;;;19.04.2017;;;;CZ4520;REA;PEK;;SEOUL;BEIJING;KO;CHINA;;;;;Elite;FB 375887018;;;;;True
EVGENIYA;MALTSEVA;FEMALE;;;;;;;15.04.2017;;;;CZ4520;REA;PEK;;SEOUL;BEIJING;KO;CHINA;;;;;Basic;FB 542576830;Elite+;KE 91199853;Elite;SU 955839273;True
ELIZAVETA;KRIUCHKOVA;FEMALE;;;;;455009277532990.0;;03.05.2017;;;;CZ4712;HAN;PEK;XJUBAP;HANOI;BEIJING;VIETNAM;CHINA;;;;;;;;;;;
VSEVOLOD;SAVIN;MALE;;;;FB 6192003;;;03.05.2017;;;;CZ4731;AUH;PEK;YRSTLY;ABU DHABI;BEIJING;UNITED ARAB EMIRATES;CHINA;;Flying Blue;;;Basic;FB 6192003;Elite+;KE 769035230;Elite+;SU 321843948;True
GREGORY;MIRONOV;MALE;;;;;;;19.04.2017;;;;CZ4731;AUH;PEK;;ABU DHABI;BEIJING;UNITED ARAB EMIRATES;CHINA;;;;;;;;;;;True
IVAN;UTKIN;MALE;;;;;;;14.05.2017;;;;CZ4731;AUH;PEK;;ABU DHABI;BEIJING;UNITED ARAB EMIRATES;CHINA;;;Elite+;DT 388387371;;;;;;;True
VALERIIA;DAVYDOVA;FEMALE;;;;;;;30.04.2017;;;;CZ4731;AUH;PEK;;ABU DHABI;BEIJING;UNITED ARAB EMIRATES;CHINA;;;;;Elite+;FB 778586995;;;;;True
MILANA;MOLCHANOVA;FEMALE;;;;SU 15913762;;J;14.05.2017;;;;CZ4737;AUH;PEK;JRSTHO;ABU DHABI;BEIJING;UNITED ARAB EMIRATES;CHINA;;Aeroflot Bonus;;;;;;;Basic;SU 15913762;True
VYACHESLAV;SYCHEV;MALE;;;;;917639409214808.0;;09.05.2017;;;;CZ4737;AUH;PEK;SMKSYA;ABU DHABI;BEIJING;UNITED ARAB EMIRATES;CHINA;;;;;;;;;;;
ODISSEI;MEDVEDEV;MALE;;;;;;;26.04.2017;;;;CZ4855;NRT;PEK;;TOKYO;BEIJING;JAPAN;CHINA;;;;;;;;;Basic;SU 279242569;True
SAMIRA;BEZRUKOVA;FEMALE;;;;;;;21.04.2017;;;;CZ4855;NRT;PEK;;TOKYO;BEIJING;JAPAN;CHINA;;;;;Basic;FB 623108683;;;;;True
MIRON;BELKIN;MALE;;;;;8060968916173006.0;;06.05.2017;;;;CZ4857;HND;PEK;HJWILP;TOKYO;BEIJING;JAPAN;CHINA;;;;;;;;;;;
AIDAR;ULYANOV;MALE;;;;;;;19.04.2017;;;;CZ6026;IKA;PEK;;TEHRAN;BEIJING;IRAN;CHINA;;;Elite;DT 804656723;;;;;;;False
IRINA;KOSAREVA;FEMALE;;;;;;;07.05.2017;;;;CZ6026;IKA;PEK;;TEHRAN;BEIJING;IRAN;CHINA;;;Elite;DT 535022385;Basic;FB 287674756;Basic;KE 839032864;;;False
GORDEI;BOCHAROV;MALE;;;;FB 298376349;;Y;04.05.2017;;05.04.2017;;CZ6028;TAS;PEK;YFLXVR;TASHKENT INTERNATIONAL;BEIJING;UZBEKISTAN;CHINA;;Flying Blue;;;Elite;FB 298376349;;;;;False
DANIEL;BOLDYREV;MALE;;;;;;;30.04.2017;;;;CZ6028;TAS;PEK;;TASHKENT INTERNATIONAL;BEIJING;UZBEKISTAN;CHINA;;;Basic;DT 213150605;;;;;Elite+;SU 248008864;False
NATASHA;POTAPOVA;FEMALE;;;;;6212671648207160.0;;03.05.2017;;;;CZ6028;TAS;PEK;EVZDCR;TASHKENT INTERNATIONAL;BEIJING;UZBEKISTAN;CHINA;;;;;;;;;;;
